epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2418,2.40776,3.88085,2.21109,0.00433,0.60465,0.11637,0.04623,2.06799,3.67803,1.98951,8e-05,8e-05,8e-05
2,22.02,2.09249,3.60411,2.0281,0.00492,0.68605,0.15891,0.06509,2.14244,3.59525,1.93998,0.00016218,0.00016218,0.00016218
3,32.6673,2.00798,3.41953,1.99568,0.00525,0.73256,0.1883,0.06911,2.15605,3.55683,1.88673,0.00022456,0.00022456,0.00022456
4,43.3275,1.86822,3.10446,1.82075,0.00567,0.7907,0.2495,0.0965,2.06552,3.40572,1.8066,0.00026714,0.00026714,0.00026714
5,53.8918,1.89203,2.9219,1.75863,0.00617,0.86047,0.27816,0.11173,1.94381,3.26668,1.70693,0.00028992,0.00028992,0.00028992
6,64.5035,1.81909,2.91985,1.74479,0.00642,0.89535,0.3335,0.13175,1.81603,3.19785,1.63036,0.0002929,0.0002929,0.0002929
7,75.13,1.90208,2.82839,1.7947,0.00617,0.86047,0.37396,0.16421,1.75857,3.13496,1.60703,0.00027608,0.00027608,0.00027608
8,85.6713,1.6463,2.62308,1.62776,0.00633,0.88372,0.38937,0.17581,1.71947,3.10058,1.59338,0.00023946,0.00023946,0.00023946
9,96.449,1.7894,2.54115,1.66105,0.00633,0.88372,0.41988,0.20266,1.67778,3.0465,1.57761,0.00018304,0.00018304,0.00018304
10,107.105,1.68854,2.63024,1.58837,0.21856,0.54651,0.46156,0.24517,1.6108,2.95443,1.53779,0.00010682,0.00010682,0.00010682
